ID,title,rating,ratingLevel,ratingDescription,release year,user rating score,user rating size,genre,title,length,On air Status
892,13 Reasons Why,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2017,89,80,Mystery,13 Reasons Why,1h,2017-2018
875,Sand Castle,TV-MA,,110,2017,81,80,Drama,Sand Castle,1h53m,2017
896,Salvador Martinha - Tip of the Tongue,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,92,82,Comedy,Salvador Martinha - Tip of the Tongue,1h5m,2016
926,Sandy Wexler,TV-14,,90,2017,81,80,Biography,Sandy Wexler,2h10m,2017
944,O Amor no DivÌ£,TV-MA,,110,2016,81,82,Comedy,O Amor no DivÌ£,2h,2016
952,Stronger Than the World,NR,,124,2016,81,82,Drama,Stronger Than the World,1h47m,2016
647,Back and Forth,NR,This movie has not been rated.,124,2016,81,82,Biography,Back and Forth,52m,2016
926,Happily Married,TV-14,,90,2015,81,82,Thriller,Happily Married,15m,2015
691,Pandora,TV-MA,,110,2016,97,82,Action,Pandora,2h16m,2016
742,The Office (U.S.),TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2012,96,80,Comedy,The Office (U.S.),22m,2005-2013
512,90210,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2013,94,80,Comedy,90210,1h,2008-2013
708,Gossip Girl,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2012,92,80,Drama,Gossip Girl,42m,2007-2012
672,Parks and Recreation,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2015,98,80,Comedy,Parks and Recreation,22m,2008-2015
550,Glee,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2015,98,80,Comedy,Glee,44m,2009-2015
884,Family Guy,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2015,98,80,Animation,Family Guy,22m,On air 
651,Criminal Minds,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,81,80,Crime,Criminal Minds,42m,On air 
844,Friends,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2003,90,80,Comedy,Friends,22m,1994-2004
698,The Secret Life of the American Teenager,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2013,97,80,Comedy,The Secret Life of the American Teenager,43m,2008-2013
983,One Tree Hill,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2011,91,80,Comedy,One Tree Hill,1h,2003-2012
747,Shameless (U.S.),TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,90,80,Comedy,Shameless (U.S.),46m,On air 
842,New Girl,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,98,80,Comedy,New Girl,22m,2011-2018
654,American Horror Story,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,81,80,Horror,American Horror Story,1h,On air 
850,Orange Is the New Black,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,83,80,Crime,Orange Is the New Black,1h,On air 
917,Inside Russia's Toughest Prison,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2011,90,82,Documentary,Inside Russia's Toughest Prison,1h,2011
728,Bates Motel,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,95,80,Horror,Bates Motel,45m,2013-2017
712,Grace and Frankie,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2017,80,80,Comedy,Grace and Frankie,30m,On air 
586,How to Get Away with Murder,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,81,80,Crime,How to Get Away with Murder,43m,On air 
888,The Get Down,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2017,81,80,Drama,The Get Down,52m,2016-2017
699,Love,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2017,90,82,Comedy,Love,50m,2016-2018
712,The OA,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,96,82,Fantasy,The OA,1h,On air 
613,Stranger Things,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,97,80,FantasyandHorror,Stranger Things,51m,On air 
681,Ingobernable,TV-MA,,110,2017,79,80,Crime,Ingobernable,40m,On air 
995,Zootopia,PG,some thematic elements rude humor and action,60,2016,98,80,Animation,Zootopia,1h48m,2016
841,Meet the Blacks,R,pervasive language some sexual material violence and drug use,100,2016,91,80,Animation,Meet the Blacks,1h34m,2016
607,Finding Dory,PG,mild thematic elements,60,2016,93,80,Animation,Finding Dory,1h37,2016
582,Sausage Party,R,strong crude sexual content pervasive language and drug use,100,2016,97,80,Animation,Sausage Party,1h29m,2016
772,Pete's Dragon,PG,for action peril and brief language,60,2016,81,80,ActionAdventure,Pete's Dragon,1h42m,2016
686,Kevin Hart: What Now?,R,some sexual material and language throughout,100,2016,93,80,Comedy,Kevin Hart: What Now?,1h36m,2016
996,The Discovery,TV-MA,,110,2017,61,82,Comedy,The Discovery,1h452m,2017
657,Chewing Gum,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2017,78,80,Crime,Chewing Gum,23m,On air 
984,Cheer Squad,TV-PG,,70,2016,81,80,Romance,Cheer Squad,1h,On air 
709,Only for One Night,TV-MA,,110,2016,81,80,ActionandCrime,Only for One Night,1h26m,2016
740,The Life Aquatic with Steve Zissou,R,language some drug use violence and partial nudity,100,2004,66,82,Comedy,The Life Aquatic with Steve Zissou,1h59m,2004
606,The L Word,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2009,75,82,FantasyandHorror,The L Word,50m,2004-2009
827,30 Rock,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2012,91,80,Crime,30 Rock,22m,2006-2013
640,Mad Men,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2014,63,80,FantasyandHorror,Mad Men,47m,2007-2015
745,It's Always Sunny in Philadelphia,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,62,80,Sci-Fi,It's Always Sunny in Philadelphia,22m,On air 
584,Californication,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2014,81,80,Mystery,Californication,28m,2007-2014
602,Portlandia,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,81,80,Fantasy,Portlandia,22m,2011-2018
626,Don't Trust the B---- in Apartment 23,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2012,92,82,Mystery,Don't Trust the B---- in Apartment 23,22m,2012-2013
994,Friends with Benefits,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2011,81,82,AnimationandCrime,Friends with Benefits,1h49m,2011
887,The Client List,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2013,81,80,Animation,The Client List,42m,2012-2013
903,Halt and Catch Fire,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,81,82,Thriller, ,1h,2014-2017
578,5 to 7,R,some sexual material,100,2014,81,82,Animation,5 to 7,1h 35m,2014
932,Chef's Table,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2017,95,82,ActionandCrime,Chef's Table,50m,On air 
831,Documentary Now!,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,74,82,Sci-Fi,Documentary Now!,23m,On air 
518,Better Call Saul,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,81,80,FantasyandHorror,Better Call Saul,46m,On air 
876,Schitt's Creek,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,81,80,Mystery,Schitt's Creek,22m,On air 
828,Lovesick,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,81,82,Animation,Lovesick,24m,On air 
944,Flaked,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,81,82,Musical,Flaked,30m,On air 
645,Master of None,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2015,81,82,Drama,Master of None,30m,On air 
863,Chelsea,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2017,81,82,Action,Chelsea,30m,On air 
730,Abstract: The Art of Design,TV-14,,90,2017,94,82,Action,Abstract: The Art of Design,45m,On air 
